"Fecha"	"Tipo de Contrato"	"MUJER"	"VARON"
"enero 2005"	"Indefinido Tiempo Completo"	2235345.30	4196041.50
"enero 2005"	"Indefinido Tiempo Parcial"	599471.70	219455.60
"enero 2005"	"Fijos Discontinuos"	108888.25	39769.60
"enero 2005"	"Eventual Tiempo Completo"	1147847.45	2306203.85
"enero 2005"	"Eventual Tiempo Parcial"	735070.90	348411.45
"enero 2005"	"Formacion Tiempo Completo"	37585.00	61582.40
"enero 2005"	"Practicas Tiempo Completo"	45607.65	49646.80
"enero 2005"	"Practicas Tiempo Parcial"	9564.15	4206.60
"enero 2005"	"No consta (*)"	433169.55	409131.15
"febrero 2005"	"Indefinido Tiempo Completo"	2248190.20	4214840.10
"febrero 2005"	"Indefinido Tiempo Parcial"	606877.65	222032.25
"febrero 2005"	"Fijos Discontinuos"	112993.85	43808.75
"febrero 2005"	"Eventual Tiempo Completo"	1156050.95	2363757.80
"febrero 2005"	"Eventual Tiempo Parcial"	741354.25	354204.35
"febrero 2005"	"Formacion Tiempo Completo"	37906.50	62201.55
"febrero 2005"	"Practicas Tiempo Completo"	45899.15	49637.15
"febrero 2005"	"Practicas Tiempo Parcial"	9746.30	4185.75
"febrero 2005"	"No consta (*)"	434960.65	409914.75
"marzo 2005"	"Indefinido Tiempo Completo"	2260735.00	4229597.10
"marzo 2005"	"Indefinido Tiempo Parcial"	614286.43	224241.05
"marzo 2005"	"Fijos Discontinuos"	119581.00	50473.33
"marzo 2005"	"Eventual Tiempo Completo"	1165717.57	2378611.76
"marzo 2005"	"Eventual Tiempo Parcial"	755133.05	361413.19
"marzo 2005"	"Formacion Tiempo Completo"	38041.62	62376.52
"marzo 2005"	"Practicas Tiempo Completo"	45969.52	49375.00
"marzo 2005"	"Practicas Tiempo Parcial"	9785.67	4164.29
"marzo 2005"	"No consta (*)"	436657.76	410588.14
"abril 2005"	"Indefinido Tiempo Completo"	2272736.00	4237744.77
"abril 2005"	"Indefinido Tiempo Parcial"	621856.18	226709.77
"abril 2005"	"Fijos Discontinuos"	128688.64	58270.27
"abril 2005"	"Eventual Tiempo Completo"	1173406.41	2417475.05
"abril 2005"	"Eventual Tiempo Parcial"	767654.23	368272.59
"abril 2005"	"Formacion Tiempo Completo"	38502.68	62701.64
"abril 2005"	"Practicas Tiempo Completo"	45968.45	48999.23
"abril 2005"	"Practicas Tiempo Parcial"	9678.14	4085.36
"abril 2005"	"No consta (*)"	438393.55	411117.18
"mayo 2005"	"Indefinido Tiempo Completo"	2282427.50	4245380.09
"mayo 2005"	"Indefinido Tiempo Parcial"	627365.86	228602.64
"mayo 2005"	"Fijos Discontinuos"	138386.23	67394.55
"mayo 2005"	"Eventual Tiempo Completo"	1205456.36	2475795.05
"mayo 2005"	"Eventual Tiempo Parcial"	783906.18	377743.91
"mayo 2005"	"Formacion Tiempo Completo"	38642.82	63621.91
"mayo 2005"	"Practicas Tiempo Completo"	46318.09	48879.09
"mayo 2005"	"Practicas Tiempo Parcial"	9546.95	4016.64
"mayo 2005"	"No consta (*)"	439773.73	411651.82
"junio 2005"	"Indefinido Tiempo Completo"	2292715.95	4256578.91
"junio 2005"	"Indefinido Tiempo Parcial"	630779.77	229538.59
"junio 2005"	"Fijos Discontinuos"	127453.05	68482.82
"junio 2005"	"Eventual Tiempo Completo"	1264594.95	2576684.45
"junio 2005"	"Eventual Tiempo Parcial"	768230.41	378212.23
"junio 2005"	"Formacion Tiempo Completo"	38574.45	65217.86
"junio 2005"	"Practicas Tiempo Completo"	47572.00	49823.64
"junio 2005"	"Practicas Tiempo Parcial"	9412.86	3973.86
"junio 2005"	"No consta (*)"	440275.09	412250.09
"julio 2005"	"Indefinido Tiempo Completo"	2300454.43	4264562.43
"julio 2005"	"Indefinido Tiempo Parcial"	628512.04	228319.52
"julio 2005"	"Fijos Discontinuos"	90921.30	65169.48
"julio 2005"	"Eventual Tiempo Completo"	1374729.91	2696058.35
"julio 2005"	"Eventual Tiempo Parcial"	756123.09	383340.65
"julio 2005"	"Formacion Tiempo Completo"	38854.52	68499.04
"julio 2005"	"Practicas Tiempo Completo"	47348.78	51671.22
"julio 2005"	"Practicas Tiempo Parcial"	9043.48	3845.87
"julio 2005"	"No consta (*)"	438582.52	411841.61
"agosto 2005"	"Indefinido Tiempo Completo"	2301382.00	4262923.18
"agosto 2005"	"Indefinido Tiempo Parcial"	627649.18	227528.77
"agosto 2005"	"Fijos Discontinuos"	85072.77	62842.27
"agosto 2005"	"Eventual Tiempo Completo"	1379072.73	2645383.05
"agosto 2005"	"Eventual Tiempo Parcial"	725122.64	371144.32
"agosto 2005"	"Formacion Tiempo Completo"	38611.00	67774.50
"agosto 2005"	"Practicas Tiempo Completo"	46261.95	51101.86
"agosto 2005"	"Practicas Tiempo Parcial"	8716.14	3793.27
"agosto 2005"	"No consta (*)"	437949.45	411142.50
"septiembre 2005"	"Indefinido Tiempo Completo"	2310638.64	4268713.32
"septiembre 2005"	"Indefinido Tiempo Parcial"	635106.00	229263.32
"septiembre 2005"	"Fijos Discontinuos"	117126.05	66123.77
"septiembre 2005"	"Eventual Tiempo Completo"	1346585.27	2654670.32
"septiembre 2005"	"Eventual Tiempo Parcial"	732666.27	363854.23
"septiembre 2005"	"Formacion Tiempo Completo"	37266.45	63947.00
"septiembre 2005"	"Practicas Tiempo Completo"	46898.36	50769.09
"septiembre 2005"	"Practicas Tiempo Parcial"	8968.73	3817.91
"septiembre 2005"	"No consta (*)"	427811.09	408121.86
"octubre 2005"	"Indefinido Tiempo Completo"	2320884.90	4275779.60
"octubre 2005"	"Indefinido Tiempo Parcial"	644610.95	232315.75
"octubre 2005"	"Fijos Discontinuos"	142052.25	66468.60
"octubre 2005"	"Eventual Tiempo Completo"	1291087.40	2643355.10
"octubre 2005"	"Eventual Tiempo Parcial"	793495.40	387871.30
"octubre 2005"	"Formacion Tiempo Completo"	36000.80	61503.10
"octubre 2005"	"Practicas Tiempo Completo"	47348.55	50751.20
"octubre 2005"	"Practicas Tiempo Parcial"	9436.45	4008.05
"octubre 2005"	"No consta (*)"	433005.35	410674.30
"noviembre 2005"	"Indefinido Tiempo Completo"	2330069.71	4283986.38
"noviembre 2005"	"Indefinido Tiempo Parcial"	650456.76	234653.43
"noviembre 2005"	"Fijos Discontinuos"	127551.14	49616.29
"noviembre 2005"	"Eventual Tiempo Completo"	1283855.86	2640023.76
"noviembre 2005"	"Eventual Tiempo Parcial"	820501.43	402407.62
"noviembre 2005"	"Formacion Tiempo Completo"	35209.24	60622.14
"noviembre 2005"	"Practicas Tiempo Completo"	47545.14	50825.86
"noviembre 2005"	"Practicas Tiempo Parcial"	9537.38	4086.90
"noviembre 2005"	"No consta (*)"	435973.52	411810.76
"diciembre 2005"	"Indefinido Tiempo Completo"	2338461.50	4290492.50
"diciembre 2005"	"Indefinido Tiempo Parcial"	654909.65	236487.00
"diciembre 2005"	"Fijos Discontinuos"	121084.05	44434.25
"diciembre 2005"	"Eventual Tiempo Completo"	1288507.10	2576699.45
"diciembre 2005"	"Eventual Tiempo Parcial"	839261.85	407898.95
"diciembre 2005"	"Formacion Tiempo Completo"	35844.25	60154.60
"diciembre 2005"	"Practicas Tiempo Completo"	47556.15	50532.70
"diciembre 2005"	"Practicas Tiempo Parcial"	9488.25	4077.70
"diciembre 2005"	"No consta (*)"	437745.65	413072.80
"enero 2006"	"Indefinido Tiempo Completo"	2345378.43	4293838.76
"enero 2006"	"Indefinido Tiempo Parcial"	658819.81	236550.24
"enero 2006"	"Fijos Discontinuos"	116298.86	42400.76
"enero 2006"	"Eventual Tiempo Completo"	1242677.05	2519796.05
"enero 2006"	"Eventual Tiempo Parcial"	802087.57	393546.24
"enero 2006"	"Formacion Tiempo Completo"	37378.14	60649.86
"enero 2006"	"Practicas Tiempo Completo"	47617.05	50222.57
"enero 2006"	"Practicas Tiempo Parcial"	9492.90	3997.57
"enero 2006"	"No consta (*)"	437924.19	412397.19
"febrero 2006"	"Indefinido Tiempo Completo"	2364925.05	4325224.75
"febrero 2006"	"Indefinido Tiempo Parcial"	667554.90	239615.25
"febrero 2006"	"Fijos Discontinuos"	120841.45	46388.90
"febrero 2006"	"Eventual Tiempo Completo"	1243431.60	2568586.55
"febrero 2006"	"Eventual Tiempo Parcial"	805805.15	398190.45
